item_code,description,rate_inr_per_piece
PKG-001,RSC 200x150x100 3P,3.21
PKG-002,RSC 240x180x120 3P,4.65
PKG-003,RSC 300x200x150 3P,6.39
PKG-004,RSC 300x250x200 3P,9.20
PKG-005,RSC 350x250x200 3P,9.69
PKG-006,RSC 400x300x250 3P-PRINT,14.06
PKG-007,RSC 250x200x150 3P,5.71
PKG-008,RSC 450x350x300 3P,19.34
PKG-009,RSC 400x400x300 3P,20.95
PKG-010,RSC 350x300x250 3P,12.91
PKG-011,RSC 500x400x350 3P,24.74
PKG-012,RSC 300x300x300 3P,13.03
PKG-013,RSC 400x300x300 5P-PRINT,25.16
PKG-014,RSC 450x350x350 5P,33.95
PKG-015,RSC 500x400x400 5P,43.53
PKG-016,RSC 550x450x400 5P,51.47
PKG-017,RSC 600x400x400 5P,50.03
PKG-018,RSC 600x500x450 5P,65.00
PKG-019,RSC 450x450x400 5P,45.39
PKG-020,RSC 500x500x450 5P,59.14
PKG-021,RSC 650x500x450 5P,69.51
PKG-022,RSC 700x500x500 5P,75.15
PKG-023,RSC 550x550x500 5P-PRINT,71.96
PKG-024,RSC 600x600x500 5P,84.21
PKG-025,RSC 750x550x500 5P,89.17
PKG-026,RSC 800x600x550 5P,101.84

Note: all rates ex-works Daman; freight at actuals.,,
